Plate:Well	KASP_4B543148213F	KASP_Sr2_ger93p	KASP_vrn-A1_exon4	KASP_Gb_Lr19Sr25	KASP_Lr9_A
0001_2024-UESRWWN-1	X:X	X:X	Y:Y	No Call	No Call
0002_2024-UESRWWN-2	X:X	No Call	Y:Y	No Call	No Call
0003_2024-UESRWWN-3	X:X	X:X	Y:Y	No Call	No Call
0004_2024-UESRWWN-4	X:X	No Call	Y:Y	No Call	No Call
0005_2024-UESRWWN-5	X:X	X:X	Y:Y	No Call	No Call
0006_2024-UESRWWN-6	X:X	X:X	Y:Y	No Call	No Call
0007_2024-UESRWWN-7	X:X	X:X	Y:Y	No Call	No Call
0008_2024-UESRWWN-8	Y:Y	X:X	Y:Y	No Call	No Call
0009_2024-UESRWWN-9	X:X	X:X	Y:Y	No Call	No Call
0010_2024-UESRWWN-10	X:X	X:X	Y:Y	No Call	No Call
0011_2024-UESRWWN-11	X:X	X:X	Y:Y	No Call	No Call
0012_2024-UESRWWN-12	X:X	X:X	Y:Y	No Call	Y:Y
0013_2024-UESRWWN-13	Y:Y	X:X	Y:Y	No Call	No Call
0014_2024-UESRWWN-14	X:X	X:X	Y:Y	No Call	No Call
0015_2024-UESRWWN-15	X:X	X:X	Y:Y	No Call	No Call
0016_2024-UESRWWN-16	X:X	X:X	Y:Y	No Call	No Call
0017_2024-UESRWWN-17	X:X	No Call	Y:Y	No Call	No Call
0018_2024-UESRWWN-18	X:X	No Call	Y:Y	No Call	No Call
0019_2024-UESRWWN-19	X:X	No Call	Y:Y	No Call	No Call
0020_2024-UESRWWN-20	X:X	X:X	Y:Y	No Call	No Call
0021_2024-UESRWWN-21	X:X	X:X	Y:Y	No Call	No Call
0022_2024-UESRWWN-22	X:X	X:X	Y:Y	No Call	No Call
0023_2024-UESRWWN-23	X:Y	No Call	Y:Y	No Call	No Call
0024_2024-UESRWWN-24	X:X	X:X	Y:Y	No Call	No Call
0025_2024-UESRWWN-25	X:X	X:X	Y:Y	No Call	No Call
0026_2024-UESRWWN-26	X:X	No Call	Y:Y	No Call	No Call
0027_2024-UESRWWN-27	X:X	No Call	Y:Y	No Call	No Call
0028_2024-UESRWWN-28	X:X	No Call	Y:Y	No Call	No Call
0029_2024-USSRWWN-1	Y:Y	X:X	Y:Y	No Call	No Call
0030_2024-USSRWWN-2	X:X	X:X	X:X	No Call	No Call
0031_2024-USSRWWN-3	X:X	X:X	Y:Y	No Call	No Call
0032_2024-USSRWWN-4	X:X	X:X	Y:Y	No Call	No Call
0033_2024-USSRWWN-5	X:X	X:X	Y:Y	No Call	No Call
0034_2024-USSRWWN-6	X:X	X:X	Y:Y	No Call	No Call
0035_2024-USSRWWN-7	X:X	X:X	Y:Y	No Call	No Call
0036_2024-USSRWWN-8	X:X	X:X	X:X	No Call	No Call
0037_2024-USSRWWN-9	Y:Y	X:X	Y:Y	No Call	No Call
0038_2024-USSRWWN-10	Y:Y	X:X	Y:Y	No Call	No Call
0039_2024-USSRWWN-11	Y:Y	X:X	Y:Y	No Call	No Call
0040_2024-USSRWWN-12	X:Y	X:X	Y:Y	No Call	No Call
0041_2024-USSRWWN-13	Y:Y	No Call	X:X	No Call	No Call
0042_2024-USSRWWN-14	Y:Y	No Call	X:X	No Call	No Call
0043_2024-USSRWWN-15	Y:Y	No Call	X:X	No Call	Y:Y
0044_2024-USSRWWN-16	Y:Y	X:X	Y:Y	No Call	Y:Y
0045_2024-USSRWWN-17	Y:Y	X:X	X:X	No Call	No Call
0046_2024-USSRWWN-18	Y:Y	No Call	X:X	No Call	No Call
0047_2024-USSRWWN-19	X:X	X:X	X:X	No Call	No Call
0048_2024-USSRWWN-20	X:X	X:X	Y:Y	No Call	No Call
0049_2024-USSRWWN-21	Y:Y	X:X	Y:Y	No Call	No Call
0050_2024-USSRWWN-22	X:X	X:X	Y:Y	No Call	No Call
0051_2024-USSRWWN-23	X:X	X:X	Y:Y	No Call	No Call
0052_2024-USSRWWN-24	X:X	X:X	Y:Y	No Call	No Call
0053_2024-USSRWWN-25	Y:Y	No Call	Y:Y	No Call	No Call
0054_2024-USSRWWN-26	X:X	X:X	Y:Y	No Call	No Call
0055_2024-USSRWWN-27	X:Y	X:X	Y:Y	No Call	No Call
0056_2024-USSRWWN-28	Y:Y	X:X	Y:Y	No Call	No Call
0057_2024-USSRWWN-29	X:X	No Call	Y:Y	No Call	No Call
0058_2024-USSRWWN-30	X:X	No Call	Y:Y	No Call	No Call
0059_2024-USSRWWN-31	X:X	No Call	Y:Y	No Call	No Call
0060_2024-USSRWWN-32	X:X	X:X	Y:Y	No Call	No Call
0061_2024-USSRWWN-33	X:X	X:X	Y:Y	No Call	No Call
0062_2024-USSRWWN-34	X:X	X:X	Y:Y	No Call	Y:Y
0063_2024-USSRWWN-35	X:X	X:X	Y:Y	No Call	No Call
0064_2024-USSRWWN-36	Y:Y	No Call	Y:Y	No Call	No Call
0065_2024-USSRWWN-37	X:X	X:X	Y:Y	No Call	Y:Y
0066_2024-USSRWWN-38	Y:Y	X:X	Y:Y	No Call	No Call
0067_2024-USSRWWN-39	Y:Y	No Call	Y:Y	No Call	No Call
0068_2024-USSRWWN-40	Y:Y	X:X	Y:Y	No Call	No Call
0069_2024-BLANK-1	No Call	No Call	No Call	No Call	No Call
0070_2024-BIGSIX-101	X:X	No Call	Y:Y	No Call	No Call
0071_2024-BIGSIX-102	No Call	No Call	Y:Y	No Call	No Call
0072_2024-BIGSIX-103	X:X	X:X	Y:Y	No Call	No Call
0073_2024-BIGSIX-104	X:X	No Call	Y:Y	No Call	No Call
0074_2024-BIGSIX-105	X:X	X:X	Y:Y	No Call	No Call
0075_2024-BIGSIX-106	X:X	No Call	Y:Y	No Call	No Call
0076_2024-BIGSIX-107	X:X	X:X	Y:Y	No Call	No Call
0077_2024-BIGSIX-108	X:X	No Call	Y:Y	No Call	No Call
0078_2024-BIGSIX-109	X:X	X:X	Y:Y	No Call	No Call
0079_2024-BIGSIX-110	X:X	X:X	Y:Y	No Call	No Call
0080_2024-BIGSIX-111	X:X	X:X	Y:Y	No Call	No Call
0081_2024-BIGSIX-112	X:X	X:X	Y:Y	No Call	No Call
0082_2024-BIGSIX-113	X:X	X:X	Y:Y	No Call	No Call
0083_2024-BIGSIX-114	X:X	X:X	Y:Y	No Call	No Call
0084_2024-BIGSIX-115	X:X	X:X	Y:Y	No Call	No Call
0085_2024-BIGSIX-116	X:X	X:X	Y:Y	No Call	No Call
0086_2024-BIGSIX-117	X:X	X:X	Y:Y	No Call	No Call
0087_2024-BIGSIX-118	X:X	X:X	Y:Y	No Call	No Call
0088_2024-BIGSIX-119	Y:Y	X:X	Y:Y	No Call	No Call
0089_2024-BIGSIX-120	X:X	No Call	Y:Y	No Call	No Call
0090_2024-BIGSIX-121	X:X	No Call	Y:Y	No Call	No Call
0091_2024-BIGSIX-122	X:X	X:X	Y:Y	No Call	No Call
0092_2024-BIGSIX-123	X:X	X:X	Y:Y	No Call	No Call
0093_2024-BIGSIX-124	X:X	X:X	Y:Y	No Call	No Call
0094_2024-BIGSIX-125	X:X	No Call	Y:Y	No Call	No Call
0095_2024-BIGSIX-126	X:X	X:X	Y:Y	No Call	No Call
0096_2024-BIGSIX-127	X:X	X:X	Y:Y	No Call	No Call
0097_2024-BIGSIX-128	X:X	X:X	Y:Y	No Call	No Call
0098_2024-BIGSIX-129	X:X	X:X	Y:Y	No Call	No Call
0099_2024-BIGSIX-130	X:X	X:X	Y:Y	No Call	No Call
0100_2024-BIGSIX-131	X:X	No Call	Y:Y	No Call	No Call
0101_2024-BIGSIX-132	X:X	X:X	Y:Y	No Call	No Call
0102_2024-BIGSIX-133	X:X	X:X	Y:Y	No Call	No Call
0103_2024-BIGSIX-134	X:X	No Call	Y:Y	No Call	No Call
0104_2024-BIGSIX-135	X:X	No Call	Y:Y	No Call	No Call
0105_2024-BIGSIX-136	X:X	No Call	Y:Y	No Call	No Call
0106_2024-BIGSIX-137	X:X	No Call	Y:Y	No Call	No Call
0107_2024-BIGSIX-138	X:X	X:X	Y:Y	No Call	No Call
0108_2024-BIGSIX-139	X:X	No Call	Y:Y	No Call	No Call
0109_2024-BIGSIX-140	X:X	No Call	Y:Y	No Call	No Call
0110_2024-BIGSIX-141	X:X	X:X	Y:Y	No Call	No Call
0111_2024-BIGSIX-142	X:X	No Call	Y:Y	No Call	No Call
0112_2024-BIGSIX-143	X:X	X:X	Y:Y	No Call	No Call
0113_2024-BIGSIX-144	X:Y	X:X	Y:Y	No Call	No Call
0114_2024-BIGSIX-145	X:X	X:X	Y:Y	No Call	No Call
0115_2024-BIGSIX-146	X:X	X:X	Y:Y	No Call	No Call
0116_2024-BIGSIX-147	X:X	X:X	Y:Y	No Call	No Call
0117_2024-BIGSIX-148	X:X	X:X	Y:Y	No Call	No Call
0118_2024-BIGSIX-149	X:X	No Call	Y:Y	No Call	No Call
0119_2024-BIGSIX-150	X:X	X:X	Y:Y	No Call	No Call
0120_2024-BIGSIX-151	X:X	No Call	Y:Y	No Call	No Call
0121_2024-BIGSIX-152	X:X	X:X	Y:Y	No Call	No Call
0122_2024-BIGSIX-153	X:X	X:X	Y:Y	No Call	No Call
0123_2024-BIGSIX-154	X:X	No Call	Y:Y	No Call	No Call
0124_2024-BIGSIX-155	X:X	No Call	Y:Y	No Call	No Call
0125_2024-BIGSIX-156	X:X	X:X	Y:Y	No Call	No Call
0126_2024-BIGSIX-157	X:X	X:X	Y:Y	No Call	No Call
0127_2024-BIGSIX-158	X:X	No Call	Y:Y	No Call	No Call
0128_2024-BIGSIX-159	X:X	X:X	Y:Y	No Call	No Call
0129_2024-BIGSIX-160	X:X	No Call	Y:Y	No Call	No Call
0130_2024-BIGSIX-161	X:X	No Call	Y:Y	No Call	No Call
0131_2024-BIGSIX-162	X:X	X:X	Y:Y	No Call	No Call
0132_2024-BIGSIX-163	X:X	X:X	Y:Y	No Call	No Call
0133_2024-BIGSIX-164	X:X	X:X	Y:Y	No Call	No Call
0134_2024-BIGSIX-165	X:X	X:X	Y:Y	No Call	No Call
0135_2024-BIGSIX-166	X:X	X:X	X:X	No Call	No Call
0136_2024-BIGSIX-167	X:X	No Call	Y:Y	No Call	No Call
0137_2024-BIGSIX-168	X:X	X:X	Y:Y	No Call	No Call
0138_2024-BIGSIX-169	X:X	X:X	Y:Y	No Call	No Call
0139_2024-BIGSIX-170	X:X	X:X	Y:Y	No Call	No Call
0140_2024-BLANK-2	No Call	No Call	No Call	No Call	No Call
0141_2024-BIGSIX-201	X:X	X:X	Y:Y	No Call	No Call
0142_2024-BIGSIX-202	X:X	X:X	Y:Y	No Call	No Call
0143_2024-BIGSIX-203	X:X	X:X	Y:Y	No Call	No Call
0144_2024-BIGSIX-204	X:X	X:X	Y:Y	No Call	No Call
0145_2024-BIGSIX-205	X:X	X:X	Y:Y	No Call	No Call
0146_2024-BIGSIX-206	X:X	X:X	Y:Y	No Call	No Call
0147_2024-BIGSIX-207	X:X	X:X	Y:Y	No Call	No Call
0148_2024-BIGSIX-208	X:X	X:X	Y:Y	No Call	No Call
0149_2024-BIGSIX-209	X:X	X:X	Y:Y	No Call	No Call
0150_2024-BIGSIX-210	X:X	X:X	Y:Y	No Call	No Call
0151_2024-BIGSIX-211	X:X	X:X	Y:Y	No Call	No Call
0152_2024-BIGSIX-212	Y:Y	No Call	Y:Y	No Call	No Call
0153_2024-BIGSIX-213	X:X	X:X	Y:Y	No Call	No Call
0154_2024-BIGSIX-214	X:X	X:X	Y:Y	No Call	No Call
0155_2024-BIGSIX-215	X:X	X:X	Y:Y	No Call	No Call
0156_2024-BIGSIX-216	X:X	No Call	Y:Y	No Call	No Call
0157_2024-BIGSIX-217	X:X	X:X	Y:Y	No Call	No Call
